title;abstract;doi;application_area;clinical_procedure;multimodal_imaging;study_category;research_environment;purpose;imaging_technique;spectral_range
Hyperspectral imaging for prediction of surface roughness in laser powder bed fusion;"This article discusses the relevance of in situ quality assurance in metal additive manufacturing for cost-efficient product qualification. It presents an approach for monitoring the laser powder bed fusion (LPBF) process using an area-scan hyperspectral camera to predict the surface roughness R-z with the help of a convolutional neural network. These investigations were carried out during LPBF processing of the magnesium alloy WE43 that, due to its bioresorbability and compatibility, holds significant potential for biomedical implants. A data acquisition and processing methodology has been set up to enable efficient management of the hyperspectral data. The hyperspectral images obtained from the process were labeled with the surface roughness R-z as determined by a confocal microscope. The data was used to train a convolutional neural network whose hyperparameters were optimized in a hyperparameter tuning process. The resulting network was able to predict the surface roughness within a mean absolute error (MAE) of 4.1 mu m over samples from three different parameter sets. Since this is significantly smaller than the spread of the actual roughness measured (MAE = 14.3 mu m), it indicates that the network identified features in the hyperspectral data linking to the roughness. These results provide the basis for future research aiming to link hyperspectral process images to further part properties relevant for quality assurance.;10.1007/s00170-021-07274-1";10.1007/s00170-021-07274-1;;;;;;tissue classification;;
Chemical complexity of the retina addressed by novel phasor analysis of unstained multimodal microscopy;"Unstained multimodal microscopy is capable of non-invasively obtaining chemically specific information with sub-micron spatial resolution; however, spectral overlap makes quantitative analysis difficult. Here, multimodal images that include second-harmonic generation, third-harmonic generation, and two- and three-photon excited fluorescence signals from unstained retinas are analyzed. The composition from each layer of the retina is determined using a novel variation of phasor analysis that is not limited to three components. The super-phasor unmixing (SPU) method is compared with fully constrained linear spectral unmixing. The seven spectroscopic signals in the spectral range 300-690 nm enable the quantitative unmixing of sub-micron pixel spectra even in the presence of noise. The performance of SPU was found to be significantly superior to linear unmixing especially in regions of high spectral overlap. The analysis being presented represents an important step in addressing chemical complexity in congested spaces with applicability to biomedical imaging and unmixing of hyperspectral images.;10.1016/j.chemphys.2021.111091";10.1016/j.chemphys.2021.111091;;;;;;tissue classification;;
Personal identification using a cross-sectional hyperspectral image of a hand;"Significance I explore hyperspectral imaging, a rapid and noninvasive technique with significant potential in biometrics and medical diagnosis. Personal identification was performed using cross-sectional hyperspectral images of palms, offering a simpler and more robust method than conventional vascular pattern identification methods. Aim I aim to demonstrate the potential of local cross-sectional hyperspectral palm images to identify individuals with high accuracy. Approach Hyperspectral imaging of palms, artificial intelligence (AI)-based region of interest (ROI) detection, feature vector extraction, and dimensionality reduction were utilized to validate personal identification accuracy using the area under the curve (AUC) and equal error rate (EER). Results The feature vectors extracted by the proposed method demonstrated higher intra-cluster similarity when the clustering data were reduced through uniform manifold approximation and projection compared with principal component analysis and t-distributed stochastic neighbor embedding. A maximum AUC of 0.98 and an EER of 0.04% were observed. Conclusions I proposed a biometric method using cross-sectional hyperspectral imaging of human palms. The procedure includes AI-based ROI detection, feature extraction, dimension reduction, and intra- and inter-subject matching using Euclidean distances as a discriminant function. The proposed method has the potential to identify individuals with high accuracy.;10.1117/1.JBO.30.2.023514";10.1117/1.JBO.30.2.023514;;;;;;tissue classification;;
Learning Optical Scattering Through Symmetrical Orthogonality Enforced Independent Components for Unmixing Deep Tissue Photoacoustic Signals;"Noninvasive mapping of chromophore distribution in deep tissue is highly desired in numerous biomedical applications. Multispectral photoacoustic (PA) imaging fused with linear spectral unmixing is employed to generate 2-D and 3-D maps of tissue chromophores. However, wavelength and depth dependent attenuation of optical fluence leads to nonuniform variations in the spectral behavior of biomolecules affecting the accuracy of conventional linear unmixing methods. To address this, a modified independent component analysis (ICA) model is proposed to construct adaptive and statistically independent components for each chromophore from the given spectral PA data. The model was trained with custom designed multispectral PA imaging simulations consisting of both endogenous (oxy- and deoxy-hemoglobin) and exogenous (indocyanine green - ICG) chromophores inside 30 mm deep tissue. End-to-end unsupervised nature of the proposed approach made the process independent of human labeling and outperformed the standard linear spectral unmixing method when tested on a set of simulated phantoms, experimental phantoms, and in vivo mouse imaging data.;10.1109/LSENS.2021.3073927";10.1109/LSENS.2021.3073927;;;;;;tissue classification;;
Noncontact Wide-Field Multispectral Imaging for Tissue Characterization;"Imaging of large tissue areas (>5 cm(2)) is often desired in clinical settings, e.g., of tissue oxygenation. Intrinsic contrasts such as absorption and scattering changes have the potential to enhance diagnostics and help monitor diseased tissue. An overview of existing noncontact multispectral diffuse reflectance imaging modalities for tissue characterization based on intrinsic optical contrast due to absorption and scattering properties of tissue is given here. Also, an overview of instrumentation advances, modeling approaches, applications, and ongoing work is described, primarily in, but not limited to, skin imaging, demonstrating the benefits and limitations of wide-field diffuse reflectance imaging.;10.1109/JSTQE.2011.2175708";10.1109/JSTQE.2011.2175708;;;;;;tissue classification;;
An average enumeration method of hyperspectral imaging data for quantitative evaluation of medical device surface contamination;"We propose a quantification method called Mapped Average Principal component analysis Score (MAPS) to enumerate the contamination coverage on common medical device surfaces. The method was adapted from conventional Principal Component Analysis (PCA) on non-overlapped regions of a full frame hyperspectral image to resolve the percentage of contamination from the substrate. The concept was proven by using a controlled contamination sample with artificial test soil and color simulating organic mixture, and was further validated using a bacterial system including biofilm on stainless steel surface. We also validate the results of MAPS with other statistical spectral analysis including Spectral Angle Mapper (SAM). The proposed method provides an alternative quantification method for hyperspectral imaging data, which can be easily implemented by basic PCA analysis. (C) 2014 Optical Society of America;10.1364/BOE.5.003613";10.1364/BOE.5.003613;;;;;;tissue classification;;
Context-free hyperspectral image enhancement for wide-field optical biomarker visualization;"Many well-known algorithms for the color enhancement of hyperspectral measurements in biomedical imaging are based on statistical assumptions that vary greatly with respect to the proportions of different pixels that appear in a given image, and thus may thwart their application in a surgical environment. This article attempts to explain why this occurs with SVD-based enhancement methods, and proposes the separation of spectral enhancement from analysis. The resulting method, termed affinity-based color enhancement, or ACE for short, achieves multi- and hyperspectral image coloring and contrast based on current spectral affinity metrics that can physically relate spectral data to a particular biomarker. This produces tunable, real-time results which are analogous to the current state-of-the-art algorithms, without suffering any of their inherent context-dependent limitations. Two applications of this method are shown as application examples: vein contrast enhancement and high-precision chromophore concentration estimation. (C) 2019 Optical Society of America under the terms of the OSA Open Access Publishing Agreement;10.1364/BOE.11.000133";10.1364/BOE.11.000133;;;;;;tissue classification;;
Hyperspectral Visualization of Mass Spectrometry Imaging Data;"The acquisition of localized molecular spectra with mass spectrometry imaging (MSI) has a great, but as yet not fully realized, potential for biomedical diagnostics and research. The methodology generates a series of mass spectra from discrete sample locations, which is often analyzed by visually interpreting specifically selected images of individual masses. We developed an intuitive color-coding scheme based on hyperspectral imaging methods to generate a single overview image of this complex data set. The image color-coding is based on spectral characteristics, such that pixels with similar molecular profiles are displayed with similar colors. This visualization strategy was applied to results of principal component analysis, self-organizing maps and t-distributed stochastic neighbor embedding. Our approach for MSI data analysis, combining automated data processing, modeling and display, is user-friendly and allows both the spatial and molecular information to be visualized intuitively and effectively.;10.1021/ac302330a";10.1021/ac302330a;;;;;;tissue classification;;
Nerve Classification with Hyperspectral Imaging Technology;"In surgical nerve repair surgery, the identification of nerve fascicles is a key to a good repair of their broken end. Some of the existing nerve fascicles identification method are not ideal. Hyperspectral imaging (HSI) technology provides information of images and spectra of biological tissue at the same time. It can supply a qualitative, quantitative and positioning description of the test objectives, and identify different biological tissues by biochemical characteristic difference, and classify and position these tissues in the image. Compared to other medical imaging technology, this technology has unique advantages. In this study, the hyperspectral imaging technology is used in the identification and classification of the nerve fascicles by the spectral characteristics of different nerve fascicles, and in determining the orientation of the nerve fascicles in the image by the image spectral information in order to better help surgical personnel to carry out the nerve repair surgery. The significance of this paper is; the first to propose a new method of identification and location of the nerve fascicles and assist surgical staff to improve the efficacy of nerve repair; the second to reserve hyperspectral imaging techniques used in qualitative and quantitative and orientation research combined with biological organization, and speed up the molecular hyperspectral imaging technology to the practical stage.;10.3964/j.issn.1000-0593(2015)01-0038-06";10.3964/j.issn.1000-0593(2015)01-0038-06;;;;;;tissue classification;;
Separating surface reflection for calibration: implicit calibration in hyperspectral imaging;"Hyperspectral imaging captures detailed spectral information for each pixel, enabling analysis of material properties through volume reflection; however, accurate interpretation is often hindered by challenges such as the need for reproducible calibration and the impact of surface reflections (glare), particularly on rough surfaces. To address these limitations, we introduce an algorithmic implicit calibration (IC) technique that leverages predictable differences in the spatial distribution of surface and volume reflections to achieve accurate calibration directly from the acquired data. By exploiting the invariance of surface reflection spectra as a surrogate reference, this approach circumvents the need for traditional reference tiles and enables calibration under complex illumination and geometric conditions. The proposed method was evaluated using simulations, optical phantoms, and hyperspectral images of surgical specimens, where it successfully isolated volume reflections while effectively managing surface reflections. In simulations, the method achieved a median relative difference of 2.07%, and a difference of 7.83% compared to conventional calibration on phantoms, demonstrating robust performance. Overall, IC provides a practical solution for improving hyperspectral imaging accuracy when conventional calibration is not feasible or reliable. By simplifying the calibration process and maintaining data quality in variable settings, this approach has broad potential to enhance diagnostic performance, particularly in biomedical applications such as surgical guidance and tissue classification, where calibration at the same time and location as the measurement improves robustness and facilitates use in sterile environments.;10.1088/2515-7647/ae51d5";10.1088/2515-7647/ae51d5;;;;;;tissue classification;;
A colour management framework for medical imaging applications;"This paper begins by reviewing the present status of colour imaging in various medical applications. For some applications, reliable diagnoses rely upon satisfactory cross-media colour reproduction between physical specimens and digital images displayed on different displays and observed under disparate viewing conditions. To address this problem, a colour management framework for medical applications is proposed. (c) 2006 Elsevier Ltd. All rights reserved.;10.1016/j.compmedimag.2006.09.002";10.1016/j.compmedimag.2006.09.002;;;;;;tissue classification;;
Frequency decomposition and compounding of ultrasound medical images with wavelet packets;"Ultrasound beams propagating in biological tissues undergo distortions due to local inhomogeneities of the acoustic parameters and the nonlinearity of the medium. The spectral analysis of the radio-frequency (RF) backscattered signals may yield important clinical information in the field of tissue characterization, as well as enhancing the detectability of tissue parenchymal diseases. In this paper, we propose a new tissue spectral imaging technique based on the wavelet packets (WP) decomposition. In a conventional ultrasound imaging system, the received echo-signals are generally decimated to generate a medical image, with a loss of information. With the proposed approach, all the RF data are processed to generate a set of frequency subband images. The ultrasound echo signals are simultaneously frequency decomposed and decimated, by using two quadrature mirror filters, followed by a dyadic subsampling. In addition, to enhance the lesion detectability and the image quality, we apply a nonlinear filter to reduce noise in each subband image. The proposed method requires simple additional signal processing and it can be implemented on any real-time imaging system. The frequency subband images, which are available simultaneously, can be either used in a multispectral display or summed up together to reduce speckle noise. To localize the different frequency response in the tissues, we propose a multifrequency display method where three different subband images, chosen among those available, are encoded as red, green, and blue intensities (RGB) to create a false-colored RGB image. According to the clinical application, different choices can evidence different spectral proprieties in the biological tissue under investigation. To enhance the lesion contrast in a grey-level image, one of the possible methods is the summation of the images obtained from narrow frequency subbands, according to the frequency compounding technique. We show that by adding the denoised subband images created with the WP decomposition, the contrast-to-noise ratio in two phantom images is largely increased.;10.1109/42.938244";10.1109/42.938244;;;;;;tissue classification;;
Separating Surface Reflectance from Volume Reflectance in Medical Hyperspectral Imaging;"Hyperspectral imaging has shown great promise for diagnostic applications, particularly in cancer surgery. However, non-bulk tissue-related spectral variations complicate the data analysis. Common techniques, such as standard normal variate normalization, often lead to a loss of amplitude and scattering information. This study investigates a novel approach to address these spectral variations in hyperspectral images of optical phantoms and excised human breast tissue. Our method separates surface and volume reflectance, hypothesizing that spectral variability arises from significant variations in surface reflectance across pixels. An illumination setup was developed to measure samples with a hyperspectral camera from different axial positions but with identical zenith angles. This configuration, combined with a novel data analysis approach, allows for the estimation and separation of surface reflectance for each direction and volume reflectance across all directions. Validated with optical phantoms, our method achieved an 83% reduction in spectral variability. Its functionality was further demonstrated in excised human breast tissue. Our method effectively addresses variations caused by surface reflectance or glare while conserving surface reflectance information, which may enhance sample analysis and evaluation. It benefits samples with unknown refractive index spectra and can be easily adapted and applied across a wide range of fields where hyperspectral imaging is used.;10.3390/diagnostics14161812";10.3390/diagnostics14161812;;;;;;tissue classification;;
Multiple multi-sample testing under arbitrary covariance dependency;"Modern high-throughput biomedical devices routinely produce data on a large scale, and the analysis of high-dimensional datasets has become commonplace in biomedical studies. However, given thousands or tens of thousands of measured variables in these datasets, extracting meaningful features poses a challenge. In this article, we propose a procedure to evaluate the strength of the associations between a nominal (categorical) response variable and multiple features simultaneously. Specifically, we propose a framework of large-scale multiple testing under arbitrary correlation dependency among test statistics. First, marginal multinomial regressions are performed for each feature individually. Second, we use an approach of multiple marginal models for each baseline-category pair to establish asymptotic joint normality of the stacked vector of the marginal multinomial regression coefficients. Third, we estimate the (limiting) covariance matrix between the estimated coefficients from all marginal models. Finally, our approach approximates the realized false discovery proportion of a thresholding procedure for the marginal p-values for each baseline-category logit pair. The proposed approach offers a sensible trade-off between the expected numbers of true and false findings. Furthermore, we demonstrate a practical application of the method on hyperspectral imaging data. This dataset is obtained by a matrix-assisted laser desorption/ionization (MALDI) instrument. MALDI demonstrates tremendous potential for clinical diagnosis, particularly for cancer research. In our application, the nominal response categories represent cancer (sub-)types.;10.1002/sim.9761";10.1002/sim.9761;;;;;;tissue classification;;
Multispectral classification techniques for terahertz pulsed imaging: an example in histopathology;"Terahertz pulsed imaging is a spectroscopic imaging modality using pulses of electromagnetic radiation (100 GHz-10 THz), and there has been recent interest in studying biomedical specimens. It is usual to display parametric images derived from the measured pulses. In this work, classification was achieved by applying multispectral clustering techniques to sets of parametric images. It was hypothesised that adequate information for clustering was carried in a small number of parametric images, providing these were weighted by complementary physical properties. Materials prepared for histopathological examination were chosen because their condition remained stable during long imaging periods and because their dehydrated state led to greater penetration of the radiation. Two specimens were examined in this pilot study, one of basal cell carcinoma and one of melanoma. Unsupervised ISODATA classification using three selected parametric terahertz pulsed images was compared qualitatively with k-means classification using the shape of the whole time series, and with conventional stained microscope slides. There was good qualitative agreement between the classifications. Classifications were consistent with the morphological appearances expected, but further work is required to determine if tumour discrimination is possible. The results have implications for the future development of the technique as the need for only a small number of features could lead to considerably reduced acquisition times. (C) 2004 IPEM. Published by Elsevier Ltd. All rights reserved.;10.1016/j.medengphy.2004.02.011";10.1016/j.medengphy.2004.02.011;;;;;;tissue classification;;
Comparison of preprocessing techniques to reduce nontissue-related variations in hyperspectral reflectance imaging;"Significance: Hyperspectral reflectance imaging can be used in medicine to identify tissue types, such as tumor tissue. Tissue classification algorithms are developed based on, e.g., machine learning or principle component analysis. For the development of these algorithms, data are generally preprocessed to remove variability in data not related to the tissue itself since this will improve the performance of the classification algorithm. In hyperspectral imaging, the measured spectra are also influenced by reflections from the surface (glare) and height variations within and between tissue samples. Aim: To compare the ability of different preprocessing algorithms to decrease variations in spectra induced by glare and height differences while maintaining contrast based on differences in optical properties between tissue types. Approach: We compare eight preprocessing algorithms commonly used in medical hyperspectral imaging: standard normal variate, multiplicative scatter correction, min-max normalization, mean centering, area under the curve normalization, single wavelength normalization, first derivative, and second derivative. We investigate conservation of contrast stemming from differences in: blood volume fraction, presence of different absorbers, scatter amplitude, and scatter slope-while correcting for glare and height variations. We use a similarity metric, the overlap coefficient, to quantify contrast between spectra. We also investigate the algorithms for clinical datasets from the colon and breast. Conclusions: Preprocessing reduces the overlap due to glare and distance variations. In general, the algorithms standard normal variate, min-max, area under the curve, and single wavelength normalization are the most suitable to preprocess data used to develop a classification algorithm for tissue classification. The type of contrast between tissue types determines which of these four algorithms is most suitable. (C) The Authors. Published by SPIE under a Creative Commons Attribution 4.0 International License.;10.1117/1.JBO.27.10.106003";10.1117/1.JBO.27.10.106003;;;;;;tissue classification;;
Fifteenth century Florentine mural investigated in situ with VNIR Hyperspectral Imaging and NIR Photography supports interpretation as a bloodletting scene;"This study provides new data which suggest a novel interpretative hypothesis not only on the specific painting, but on the use of bloodletting as medical practice in the Florentine Quattrocento. As a part of a cycle of frescoes devoted to the Seven Corporal Works of Mercy, the examined lunette depicts the Visit to the sick in a domestic interior, but it has never been considered as an historical document of precise medical practices. The scene's definitive interpretation is still unresolved because of the uncertainty of some iconographic details. A campaign of in-situ and non-invasive technical investigations was performed to retrieve possible traces of previous details today concealed. The technical solutions adopted to implement the measurements campaign are illustrated, as an experimental example for remote sensing inspection of mural paintings in-situ. The position of the painting high up on a wall of an historical venue led to opting for stand-alone optical imaging techniques which could operate in remote sensing mode. By combining the use of portable Hyperspectral Imaging with Near Infrared photography a set of detailed images could be obtained that highlighted details not otherwise detectable. Focused on the objects held by the persons present, the analysis of the mural of Visit of the Buonomini in her Lying in Bed, the gift of swaddling cloth could be a tourniquet, shadows of folds of a blanket a thumb lancet, and an object held a blood collection bowl, supported the hypothesis that it could be a medieval bloodletting scene.;10.1038/s41598-024-58972-1";10.1038/s41598-024-58972-1;;;;;;tissue classification;;
An introduction to color in medical imaging;"The field of radiology dates back to 1896 with the first direct x-ray exposure of film by Roentgen. For the next 80 years the exposure of black-and-white film by x-rays, and later, from calculated images from computed tomography scans, ultrasound scans, and magnetic resonance imaging scans would dominate the hard-copy world of medical imaging. The use of color was largely experimental and limited until the development of real-time color Doppler imaging in the early 1980s. Since that time, the use of color has grown rapidly as three-dimensional visualizations and multimodality or multispectral images become widely utilized. The rapid growth of imaging techniques that combine anatomical information with additional functional or molecular information is driving color to the forefront, since additional information needs to be fused in the renderings. Thus, 100 years after Roentgen's experiment, a century of monochrome imaging is giving way to an emerging need for color displays of medical images. (C) 2006 Society for Imaging Science and Technology.;10.2352/J.ImagingSci.Technol.(2006)50:1(12)";10.2352/J.ImagingSci.Technol.(2006)50:1(12);;;;;;tissue classification;;
